,city,year,month,diversion_rate
126,Providence,2019,1,14.58
127,Providence,2019,2,14.82
128,Providence,2019,3,13.83
129,Providence,2019,4,17.62
130,Providence,2019,5,14.71
131,Providence,2019,6,14.73
132,Providence,2019,7,13.92
133,Providence,2019,8,14.15
134,Providence,2019,9,14.58
135,Providence,2019,10,15.85
136,Providence,2019,11,23.32
137,Providence,2019,12,14.51
