,year,month,diversion_rate,num_tweets,likes,retweets,MAU,perc_geotagged,avg_followers,avg_views,total_views,engagement
0,2013,1,22.93661858877148,20,4,4,48,0.024,514.1818181818182,51.41818181818183,51418.18181818183,52084.848484848495
1,2013,2,22.014819992909622,17,1,1,48,0.024,514.1818181818182,51.41818181818183,38563.636363636375,38730.30303030304
2,2013,3,19.562440850921675,10,0,1,48,0.024,514.1818181818182,51.41818181818183,23566.66666666667,23650.000000000004
3,2013,4,19.09803762567972,8,3,1,49,0.023,524.8939393939394,52.48939393939394,20539.328063241108,20887.154150197628
4,2013,5,17.52093174767238,19,1,5,49,0.023,524.8939393939394,52.48939393939394,54771.54150197629,55293.28063241107
5,2013,6,16.678265202524678,23,3,2,49,0.023,524.8939393939394,52.48939393939394,57053.68906455864,57488.471673254295
6,2013,7,17.24688766578001,14,2,1,53,0.024,567.7424242424242,56.77424242424243,35483.90151515152,35733.90151515152
7,2013,8,16.75345534759952,15,2,2,53,0.024,567.7424242424242,56.77424242424243,40215.08838383839,40548.421717171725
8,2013,9,17.45387408405294,18,3,2,53,0.024,567.7424242424242,56.77424242424243,47311.86868686869,47728.53535353536
9,2013,10,17.780538736298418,18,4,2,54,0.025,578.4545454545455,57.84545454545455,46276.36363636364,46756.36363636364
10,2013,11,19.63479398830537,28,6,2,54,0.025,578.4545454545455,57.84545454545455,69414.54545454546,70054.54545454546
11,2013,12,20.98090155522239,13,7,15,54,0.025,578.4545454545455,57.84545454545455,64786.909090909096,66546.90909090909
12,2014,1,20.10587822643523,37,12,12,57,0.027000000000000003,610.5909090909091,61.05909090909091,110810.94276094275,112588.72053872053
13,2014,2,19.947872349286058,44,11,6,57,0.027000000000000003,610.5909090909091,61.05909090909091,113072.39057239058,114331.64983164983
14,2014,3,18.339961780094004,52,18,16,57,0.027000000000000003,610.5909090909091,61.05909090909091,153778.45117845116,156296.96969696967
15,2014,4,17.776815438358266,83,51,59,60,0.026000000000000002,642.7272727272727,64.27272727272728,351027.97202797205,359489.5104895105
16,2014,5,16.73140585907164,97,29,53,60,0.026000000000000002,642.7272727272727,64.27272727272728,370804.1958041958,377111.88811188814
17,2014,6,17.56812771369858,66,53,64,60,0.026000000000000002,642.7272727272727,64.27272727272728,321363.6363636364,330363.6363636364
18,2014,7,17.160270166294826,59,29,36,64,0.027000000000000003,685.5757575757576,68.55757575757576,241221.09988776656,246035.91470258136
19,2014,8,17.52498108838846,47,75,20,64,0.027000000000000003,685.5757575757576,68.55757575757576,170124.354657688,177161.39169472503
20,2014,9,18.019933848534045,88,66,93,64,0.027000000000000003,685.5757575757576,68.55757575757576,459589.6745230078,471367.4523007856
21,2014,10,17.844944218220878,66,34,39,64,0.022000000000000002,685.5757575757576,68.55757575757576,327206.6115702479,333842.97520661156
22,2014,11,21.66985140795757,121,36,32,64,0.022000000000000002,685.5757575757576,68.55757575757576,476786.7768595041,482968.5950413223
23,2014,12,26.13114534957468,53,35,34,64,0.022000000000000002,685.5757575757576,68.55757575757576,271114.0495867768,277386.7768595041
24,2015,1,21.875786795909846,77,717,646,66,0.02,707.0,70.7,2555805.0,2692105.0
25,2015,2,22.03059877139283,57,36,20,66,0.02,707.0,70.7,272195.0,277795.0
26,2015,3,20.94943171721747,91,69,80,66,0.02,707.0,70.7,604485.0,619385.0
27,2015,4,19.113210379015115,86,103,78,66,0.023,707.0,70.7,504121.7391304348,519860.8695652174
28,2015,5,18.933414350807926,103,82,130,66,0.023,707.0,70.7,716221.7391304348,734656.5217391305
29,2015,6,19.274977698652688,132,49,46,66,0.023,707.0,70.7,547156.5217391305,555417.3913043479
30,2015,7,19.35928665919396,128,53,81,66,0.025,707.0,70.7,591052.0,601772.0
31,2015,8,19.633442456496212,117,77,41,66,0.025,707.0,70.7,446824.0,456264.0
32,2015,9,19.5587049334839,128,121,107,66,0.025,707.0,70.7,664580.0,682820.0
33,2015,10,20.061375306890064,131,75,66,65,0.023,696.2878787878789,69.62878787878789,596385.7048748354,608646.5744400528
34,2015,11,23.68060040830406,153,193,153,65,0.023,696.2878787878789,69.62878787878789,926365.6126482214,956452.5691699606
35,2015,12,26.148109202266255,164,133,84,65,0.023,696.2878787878789,69.62878787878789,750779.9736495389,769649.5388669303
36,2016,1,21.77001007547861,89,49,18,65,0.022000000000000002,696.2878787878789,69.62878787878789,338649.1046831956,344740.0137741047
37,2016,2,21.03399639734506,90,85,51,65,0.022000000000000002,696.2878787878789,69.62878787878789,446257.2314049587,458620.86776859505
38,2016,3,18.978161184231272,146,168,82,65,0.022000000000000002,696.2878787878789,69.62878787878789,721607.438016529,744334.7107438017
