DATE,MONTH,TYPE,TOTAL (IN TONS)
12/31/2015,December,Sidewalk Debris,0
12/31/2015,December,Haz Waste,0
12/31/2015,December,E-Waste,46
12/31/2015,December,Curb Garbage,7332
12/31/2015,December,Misc. Garbage,1679
01/31/2016,January,Curb Recycling,1193
01/31/2016,January,Misc. Recycling,10
01/31/2016,January,Bottle Bill,317
01/31/2016,January,Scrap Metal,338
01/31/2016,January,Recycled Tires,12
01/31/2016,January,Yard Waste,900
01/31/2016,January,Asphalt Debris,0
01/31/2016,January,Sidewalk Debris,0
01/31/2016,January,Haz Waste,0
01/31/2016,January,E-Waste,33
01/31/2016,January,Curb Garbage,5613
01/31/2016,January,Misc. Garbage,658
02/28/2016,February,Curb Recycling,1164
02/28/2016,February,Misc. Recycling,10
02/28/2016,February,Bottle Bill,317
02/28/2016,February,Scrap Metal,338
02/28/2016,February,Recycled Tires,17
02/28/2016,February,Yard Waste,900
02/28/2016,February,Asphalt Debris,0
02/28/2016,February,Sidewalk Debris,0
02/28/2016,February,Haz Waste,0
02/28/2016,February,E-Waste,23
02/28/2016,February,Curb Garbage,5573
02/28/2016,February,Misc. Garbage,1026
03/31/2016,March,Curb Recycling,1319
03/31/2016,March,Misc. Recycling,10
03/31/2016,March,Bottle Bill,317
03/31/2016,March,Scrap Metal,338
03/31/2016,March,Recycled Tires,33
03/31/2016,March,Yard Waste,900
03/31/2016,March,Asphalt Debris,0
03/31/2016,March,Sidewalk Debris,0
03/31/2016,March,Haz Waste,0
03/31/2016,March,E-Waste,32
03/31/2016,March,Curb Garbage,7004
03/31/2016,March,Misc. Garbage,1328
04/30/2016,April,Curb Recycling,1229
04/30/2016,April,Misc. Recycling,10
04/30/2016,April,Bottle Bill,317
04/30/2016,April,Scrap Metal,338
04/30/2016,April,Recycled Tires,7
04/30/2016,April,Yard Waste,900
04/30/2016,April,Asphalt Debris,0
04/30/2016,April,Sidewalk Debris,0
04/30/2016,April,Haz Waste,0
04/30/2016,April,E-Waste,22
04/30/2016,April,Curb Garbage,6941
04/30/2016,April,Misc. Garbage,2643
05/31/2016,May,Curb Recycling,1327
05/31/2016,May,Misc. Recycling,10
05/31/2016,May,Bottle Bill,317
05/31/2016,May,Scrap Metal,338
05/31/2016,May,Recycled Tires,45
05/31/2016,May,Yard Waste,900
05/31/2016,May,Asphalt Debris,0
05/31/2016,May,Sidewalk Debris,0
05/31/2016,May,Haz Waste,0
05/31/2016,May,E-Waste,61
05/31/2016,May,Curb Garbage,8258
05/31/2016,May,Misc. Garbage,3251
06/30/2016,June,Curb Recycling,1342
06/30/2016,June,Misc. Recycling,10
06/30/2016,June,Bottle Bill,317
06/30/2016,June,Scrap Metal,338
06/30/2016,June,Recycled Tires,31
06/30/2016,June,Yard Waste,900
06/30/2016,June,Asphalt Debris,0
06/30/2016,June,Sidewalk Debris,0
06/30/2016,June,Haz Waste,12
06/30/2016,June,E-Waste,63
06/30/2016,June,Curb Garbage,8271
06/30/2016,June,Misc. Garbage,2135
07/31/2016,July,Curb Recycling,1239
07/31/2016,July,Misc. Recycling,10
07/31/2016,July,Bottle Bill,317
07/31/2016,July,Scrap Metal,338
07/31/2016,July,Recycled Tires,18
07/31/2016,July,Yard Waste,900
07/31/2016,July,Asphalt Debris,0
07/31/2016,July,Sidewalk Debris,0
07/31/2016,July,Haz Waste,0
07/31/2016,July,E-Waste,39
07/31/2016,July,Curb Garbage,7389
07/31/2016,July,Misc. Garbage,857
08/31/2016,August,Curb Recycling,1348
08/31/2016,August,Misc. Recycling,10
08/31/2016,August,Bottle Bill,317
08/31/2016,August,Scrap Metal,338
08/31/2016,August,Recycled Tires,28
08/31/2016,August,Yard Waste,900
08/31/2016,August,Asphalt Debris,0
08/31/2016,August,Sidewalk Debris,0
08/31/2016,August,Haz Waste,0
08/31/2016,August,E-Waste,30
08/31/2016,August,Curb Garbage,8096
08/31/2016,August,Misc. Garbage,2376
09/30/2016,September,Curb Recycling,1336
09/30/2016,September,Misc. Recycling,10
09/30/2016,September,Bottle Bill,317
09/30/2016,September,Scrap Metal,338
09/30/2016,September,Recycled Tires,20
09/30/2016,September,Yard Waste,900
09/30/2016,September,Asphalt Debris,0
09/30/2016,September,Sidewalk Debris,0
09/30/2016,September,Haz Waste,0
09/30/2016,September,E-Waste,64
09/30/2016,September,Curb Garbage,7879
09/30/2016,September,Misc. Garbage,1666
10/31/2016,October,Curb Recycling,1214
10/31/2016,October,Misc. Recycling,10
10/31/2016,October,Bottle Bill,317
10/31/2016,October,Scrap Metal,338
10/31/2016,October,Recycled Tires,24
10/31/2016,October,Yard Waste,900
10/31/2016,October,Asphalt Debris,0
10/31/2016,October,Sidewalk Debris,0
10/31/2016,October,Haz Waste,7
10/31/2016,October,E-Waste,47
10/31/2016,October,Curb Garbage,8294
10/31/2016,October,Misc. Garbage,2591
11/30/2016,November,Curb Recycling,1341
11/30/2016,November,Misc. Recycling,10
11/30/2016,November,Bottle Bill,317
11/30/2016,November,Scrap Metal,338
11/30/2016,November,Recycled Tires,16
11/30/2016,November,Yard Waste,900
11/30/2016,November,Asphalt Debris,0
11/30/2016,November,Sidewalk Debris,0
11/30/2016,November,Haz Waste,0
11/30/2016,November,E-Waste,20
11/30/2016,November,Curb Garbage,7301
11/30/2016,November,Misc. Garbage,672
12/31/2016,December,Curb Recycling,1420
12/31/2016,December,Misc. Recycling,4810
12/31/2016,December,Bottle Bill,317
12/31/2016,December,Scrap Metal,738
12/31/2016,December,Recycled Tires,5
12/31/2016,December,Yard Waste,900
12/31/2016,December,Asphalt Debris,0
12/31/2016,December,Sidewalk Debris,0
12/31/2016,December,Haz Waste,
12/31/2016,December,E-Waste,48
12/31/2016,December,Curb Garbage,6706
12/31/2016,December,Misc. Garbage,640
01/31/2017,January,Curb Recycling,1329
01/31/2017,January,Misc. Recycling,10
01/31/2017,January,Bottle Bill,317
01/31/2017,January,Scrap Metal,332
01/31/2017,January,Recycled Tires,41
01/31/2017,January,Yard Waste,1000
01/31/2017,January,Asphalt Debris,0
01/31/2017,January,Sidewalk Debris,0
01/31/2017,January,Haz Waste,0
01/31/2017,January,E-Waste,36
01/31/2017,January,Curb Garbage,6549
01/31/2017,January,Misc. Garbage,589
02/28/2017,February,Curb Recycling,1131
02/28/2017,February,Misc. Recycling,10
02/28/2017,February,Bottle Bill,317
02/28/2017,February,Scrap Metal,332
02/28/2017,February,Recycled Tires,28
02/28/2017,February,Yard Waste,1000
02/28/2017,February,Asphalt Debris,0
02/28/2017,February,Sidewalk Debris,0
02/28/2017,February,Haz Waste,0
02/28/2017,February,E-Waste,28
02/28/2017,February,Curb Garbage,5659
02/28/2017,February,Misc. Garbage,884
03/31/2017,March,Curb Recycling,1363
03/31/2017,March,Misc. Recycling,10
03/31/2017,March,Bottle Bill,317
03/31/2017,March,Scrap Metal,332
03/31/2017,March,Recycled Tires,24
03/31/2017,March,Yard Waste,1000
03/31/2017,March,Asphalt Debris,0
03/31/2017,March,Sidewalk Debris,0
03/31/2017,March,Haz Waste,0
03/31/2017,March,E-Waste,19
03/31/2017,March,Curb Garbage,6629
03/31/2017,March,Misc. Garbage,1175
04/30/2017,April,Curb Recycling,1303
04/30/2017,April,Misc. Recycling,10
04/30/2017,April,Bottle Bill,317
04/30/2017,April,Scrap Metal,332
04/30/2017,April,Recycled Tires,30
04/30/2017,April,Yard Waste,1000
04/30/2017,April,Asphalt Debris,0
04/30/2017,April,Sidewalk Debris,0
04/30/2017,April,Haz Waste,0
04/30/2017,April,E-Waste,28
04/30/2017,April,Curb Garbage,7208
04/30/2017,April,Misc. Garbage,1598
05/31/2017,May,Curb Recycling,1514
05/31/2017,May,Misc. Recycling,10
05/31/2017,May,Bottle Bill,317
05/31/2017,May,Scrap Metal,331
05/31/2017,May,Recycled Tires,32
05/31/2017,May,Yard Waste,1000
05/31/2017,May,Asphalt Debris,0
05/31/2017,May,Sidewalk Debris,0
05/31/2017,May,Haz Waste,0
05/31/2017,May,E-Waste,30
05/31/2017,May,Curb Garbage,8660
05/31/2017,May,Misc. Garbage,2885
06/30/2017,June,Curb Recycling,1468
06/30/2017,June,Misc. Recycling,10
06/30/2017,June,Bottle Bill,317
06/30/2017,June,Scrap Metal,331
06/30/2017,June,Recycled Tires,13
06/30/2017,June,Yard Waste,1000
06/30/2017,June,Asphalt Debris,0
06/30/2017,June,Sidewalk Debris,0
06/30/2017,June,Haz Waste,0
06/30/2017,June,E-Waste,47
06/30/2017,June,Curb Garbage,8582
06/30/2017,June,Misc. Garbage,1962
07/31/2017,July,Curb Recycling,1381
07/31/2017,July,Misc. Recycling,10
07/31/2017,July,Bottle Bill,317
07/31/2017,July,Scrap Metal,331
07/31/2017,July,Recycled Tires,39
07/31/2017,July,Yard Waste,1000
07/31/2017,July,Asphalt Debris,0
07/31/2017,July,Sidewalk Debris,0
07/31/2017,July,Haz Waste,12
07/31/2017,July,E-Waste,39
07/31/2017,July,Curb Garbage,8069
07/31/2017,July,Misc. Garbage,1073
08/31/2017,August,Curb Recycling,1450
08/31/2017,August,Misc. Recycling,10
08/31/2017,August,Bottle Bill,317
08/31/2017,August,Scrap Metal,331
08/31/2017,August,Recycled Tires,25
08/31/2017,August,Yard Waste,1000
08/31/2017,August,Asphalt Debris,0
08/31/2017,August,Sidewalk Debris,0
08/31/2017,August,Haz Waste,0
08/31/2017,August,E-Waste,44
08/31/2017,August,Curb Garbage,8487
08/31/2017,August,Misc. Garbage,2615
09/30/2017,September,Curb Recycling,1315
09/30/2017,September,Misc. Recycling,10
09/30/2017,September,Bottle Bill,317
09/30/2017,September,Scrap Metal,331
09/30/2017,September,Recycled Tires,37
09/30/2017,September,Yard Waste,1000
09/30/2017,September,Asphalt Debris,0
09/30/2017,September,Sidewalk Debris,0
09/30/2017,September,Haz Waste,5
09/30/2017,September,E-Waste,33
09/30/2017,September,Curb Garbage,7301
09/30/2017,September,Misc. Garbage,1618
10/31/2017,October,Curb Recycling,1337
10/31/2017,October,Misc. Recycling,10
10/31/2017,October,Bottle Bill,317
10/31/2017,October,Scrap Metal,331
10/31/2017,October,Recycled Tires,37
10/31/2017,October,Yard Waste,1000
10/31/2017,October,Asphalt Debris,0
10/31/2017,October,Sidewalk Debris,0
10/31/2017,October,Haz Waste,0
10/31/2017,October,E-Waste,36
10/31/2017,October,Curb Garbage,7692
10/31/2017,October,Misc. Garbage,1283
11/30/2017,November,Curb Recycling,1502
11/30/2017,November,Misc. Recycling,10
11/30/2017,November,Bottle Bill,317
11/30/2017,November,Scrap Metal,331
11/30/2017,November,Recycled Tires,11
11/30/2017,November,Yard Waste,1000
11/30/2017,November,Asphalt Debris,0
11/30/2017,November,Sidewalk Debris,0
11/30/2017,November,Haz Waste,0
11/30/2017,November,E-Waste,23
11/30/2017,November,Curb Garbage,7994
11/30/2017,November,Misc. Garbage,434
12/31/2017,December,Curb Recycling,1408
12/31/2017,December,Misc. Recycling,5100
12/31/2017,December,Bottle Bill,317
12/31/2017,December,Scrap Metal,331
12/31/2017,December,Recycled Tires,2
12/31/2017,December,Yard Waste,2300
12/31/2017,December,Asphalt Debris,0
12/31/2017,December,Sidewalk Debris,0
12/31/2017,December,Haz Waste,0
12/31/2017,December,E-Waste,29
12/31/2017,December,Curb Garbage,6401
12/31/2017,December,Misc. Garbage,302
01/31/2018,January,Curb Recycling,1441
01/31/2018,January,Misc. Recycling,10
01/31/2018,January,Bottle Bill,317
01/31/2018,January,Scrap Metal,332
01/31/2018,January,Recycled Tires,15
01/31/2018,January,Yard Waste,0
01/31/2018,January,Asphalt Debris,0
01/31/2018,January,Sidewalk Debris,0
01/31/2018,January,Haz Waste,0
01/31/2018,January,E-Waste,12
01/31/2018,January,Curb Garbage,6792
01/31/2018,January,Misc. Garbage,1223
02/28/2018,February,Curb Recycling,1213
02/28/2018,February,Misc. Recycling,10
02/28/2018,February,Bottle Bill,317
02/28/2018,February,Scrap Metal,332
02/28/2018,February,Recycled Tires,27
02/28/2018,February,Yard Waste,0
02/28/2018,February,Asphalt Debris,0
02/28/2018,February,Sidewalk Debris,0
02/28/2018,February,Haz Waste,0
02/28/2018,February,E-Waste,19
02/28/2018,February,Curb Garbage,5743
02/28/2018,February,Misc. Garbage,589
03/31/2018,March,Curb Recycling,1330
03/31/2018,March,Misc. Recycling,10
03/31/2018,March,Bottle Bill,317
03/31/2018,March,Scrap Metal,332
03/31/2018,March,Recycled Tires,27
03/31/2018,March,Yard Waste,0
03/31/2018,March,Asphalt Debris,0
03/31/2018,March,Sidewalk Debris,0
03/31/2018,March,Haz Waste,0
03/31/2018,March,E-Waste,37
03/31/2018,March,Curb Garbage,6513
03/31/2018,March,Misc. Garbage,648
04/30/2018,April,Curb Recycling,1349
04/30/2018,April,Misc. Recycling,10
04/30/2018,April,Bottle Bill,317
04/30/2018,April,Scrap Metal,332
04/30/2018,April,Recycled Tires,26
04/30/2018,April,Yard Waste,0
04/30/2018,April,Asphalt Debris,0
04/30/2018,April,Sidewalk Debris,0
04/30/2018,April,Haz Waste,0
04/30/2018,April,E-Waste,22
04/30/2018,April,Curb Garbage,7161
04/30/2018,April,Misc. Garbage,2227
05/31/2018,May,Curb Recycling,1561
05/31/2018,May,Misc. Recycling,10
05/31/2018,May,Bottle Bill,317
05/31/2018,May,Scrap Metal,332
05/31/2018,May,Recycled Tires,23
05/31/2018,May,Yard Waste,0
05/31/2018,May,Asphalt Debris,0
05/31/2018,May,Sidewalk Debris,0
05/31/2018,May,Haz Waste,0
05/31/2018,May,E-Waste,32
05/31/2018,May,Curb Garbage,8894
05/31/2018,May,Misc. Garbage,2789
06/30/2018,June,Curb Recycling,1440
06/30/2018,June,Misc. Recycling,10
06/30/2018,June,Bottle Bill,317
06/30/2018,June,Scrap Metal,332
06/30/2018,June,Recycled Tires,19
06/30/2018,June,Yard Waste,0
06/30/2018,June,Asphalt Debris,0
06/30/2018,June,Sidewalk Debris,0
06/30/2018,June,Haz Waste,0
06/30/2018,June,E-Waste,52
06/30/2018,June,Curb Garbage,9223
06/30/2018,June,Misc. Garbage,3611
07/30/2018,July,Curb Recycling,1410
07/30/2018,July,Misc. Recycling,10
07/30/2018,July,Bottle Bill,317
07/30/2018,July,Scrap Metal,332
07/30/2018,July,Recycled Tires,45
07/30/2018,July,Yard Waste,32
07/30/2018,July,Asphalt Debris,0
07/30/2018,July,Sidewalk Debris,0
07/30/2018,July,Haz Waste,10
07/30/2018,July,E-Waste,55
07/30/2018,July,Curb Garbage,7817
07/30/2018,July,Misc. Garbage,890
08/31/2018,August,Curb Recycling,1516
08/31/2018,August,Misc. Recycling,10
08/31/2018,August,Bottle Bill,317
08/31/2018,August,Scrap Metal,332
08/31/2018,August,Recycled Tires,25
08/31/2018,August,Yard Waste,120
08/31/2018,August,Asphalt Debris,0
08/31/2018,August,Sidewalk Debris,0
08/31/2018,August,Haz Waste,0
08/31/2018,August,E-Waste,39
08/31/2018,August,Curb Garbage,8250
08/31/2018,August,Misc. Garbage,2266
09/30/2018,September,Curb Recycling,1296
09/30/2018,September,Misc. Recycling,10
09/30/2018,September,Bottle Bill,317
09/30/2018,September,Scrap Metal,332
09/30/2018,September,Recycled Tires,35
09/30/2018,September,Yard Waste,104
09/30/2018,September,Asphalt Debris,0
09/30/2018,September,Sidewalk Debris,0
09/30/2018,September,Haz Waste,0
09/30/2018,September,E-Waste,54
09/30/2018,September,Curb Garbage,6932
09/30/2018,September,Misc. Garbage,1647
10/31/2018,October,Curb Recycling,1441
10/31/2018,October,Misc. Recycling,10
10/31/2018,October,Bottle Bill,317
10/31/2018,October,Scrap Metal,332
10/31/2018,October,Recycled Tires,23
10/31/2018,October,Yard Waste,505
10/31/2018,October,Asphalt Debris,0
10/31/2018,October,Sidewalk Debris,0
10/31/2018,October,Haz Waste,10
10/31/2018,October,E-Waste,33
10/31/2018,October,Curb Garbage,7663
10/31/2018,October,Misc. Garbage,1460
11/30/2018,November,Curb Recycling,1456
11/30/2018,November,Misc. Recycling,10
11/30/2018,November,Bottle Bill,317
11/30/2018,November,Scrap Metal,332
11/30/2018,November,Recycled Tires,32
11/30/2018,November,Yard Waste,1374
11/30/2018,November,Asphalt Debris,0
11/30/2018,November,Sidewalk Debris,0
11/30/2018,November,Haz Waste,0
11/30/2018,November,E-Waste,28
11/30/2018,November,Curb Garbage,7680
11/30/2018,November,Misc. Garbage,468
12/31/2018,December,Curb Recycling,1473
12/31/2018,December,Misc. Recycling,5100
12/31/2018,December,Bottle Bill,317
12/31/2018,December,Scrap Metal,732
12/31/2018,December,Recycled Tires,10
12/31/2018,December,Yard Waste,8000
12/31/2018,December,Asphalt Debris,0
12/31/2018,December,Sidewalk Debris,0
12/31/2018,December,Haz Waste,0
12/31/2018,December,E-Waste,27
12/31/2018,December,Curb Garbage,6524
12/31/2018,December,Misc. Garbage,376
01/31/2019,January,Curb Recycling,1129
01/31/2019,January,Misc. Recycling,10
01/31/2019,January,Bottle Bill,317
01/31/2019,January,Scrap Metal,332
01/31/2019,January,Recycled Tires,10
01/31/2019,January,Yard Waste,436
01/31/2019,January,Asphalt Debris,0
01/31/2019,January,Sidewalk Debris,0
01/31/2019,January,Haz Waste,0
01/31/2019,January,E-Waste,50
01/31/2019,January,Curb Garbage,5688
01/31/2019,January,Misc. Garbage,246
02/28/2019,February,Curb Recycling,1309
02/28/2019,February,Misc. Recycling,10
02/28/2019,February,Bottle Bill,317
02/28/2019,February,Scrap Metal,332
02/28/2019,February,Recycled Tires,9
02/28/2019,February,Yard Waste,169
02/28/2019,February,Asphalt Debris,0
02/28/2019,February,Sidewalk Debris,0
02/28/2019,February,Haz Waste,0
02/28/2019,February,E-Waste,20
02/28/2019,February,Curb Garbage,5578
02/28/2019,February,Misc. Garbage,226
03/31/2019,March,Curb Recycling,1385
03/31/2019,March,Misc. Recycling,10
03/31/2019,March,Bottle Bill,317
03/31/2019,March,Scrap Metal,332
03/31/2019,March,Recycled Tires,22
03/31/2019,March,Yard Waste,175
03/31/2019,March,Asphalt Debris,0
03/31/2019,March,Sidewalk Debris,0
03/31/2019,March,Haz Waste,0
03/31/2019,March,E-Waste,24
03/31/2019,March,Curb Garbage,6658
03/31/2019,March,Misc. Garbage,652
04/30/2019,April,Curb Recycling,1399
04/30/2019,April,Misc. Recycling,10
04/30/2019,April,Bottle Bill,317
04/30/2019,April,Scrap Metal,332
04/30/2019,April,Recycled Tires,49
04/30/2019,April,Yard Waste,558
04/30/2019,April,Asphalt Debris,0
04/30/2019,April,Sidewalk Debris,0
04/30/2019,April,Haz Waste,0
04/30/2019,April,E-Waste,33
04/30/2019,April,Curb Garbage,7769
04/30/2019,April,Misc. Garbage,2560
05/30/2019,May,Curb Recycling,1566
05/30/2019,May,Misc. Recycling,10
05/30/2019,May,Bottle Bill,317
05/30/2019,May,Scrap Metal,332
05/30/2019,May,Recycled Tires,987
05/30/2019,May,Yard Waste,222
05/30/2019,May,Asphalt Debris,0
05/30/2019,May,Sidewalk Debris,0
05/30/2019,May,Haz Waste,0
05/30/2019,May,E-Waste,37
05/30/2019,May,Curb Garbage,9001
05/30/2019,May,Misc. Garbage,3573
06/30/2019,June,Curb Recycling,1379
06/30/2019,June,Misc. Recycling,10
06/30/2019,June,Bottle Bill,317
06/30/2019,June,Scrap Metal,332
06/30/2019,June,Recycled Tires,17
06/30/2019,June,Yard Waste,129
06/30/2019,June,Asphalt Debris,0
06/30/2019,June,Sidewalk Debris,0
06/30/2019,June,Haz Waste,0
06/30/2019,June,E-Waste,45
06/30/2019,June,Curb Garbage,8104
06/30/2019,June,Misc. Garbage,2379
07/31/2019,July,Curb Recycling,1479
07/31/2019,July,Misc. Recycling,10
07/31/2019,July,Bottle Bill,317
07/31/2019,July,Scrap Metal,332
07/31/2019,July,Recycled Tires,37
07/31/2019,July,Yard Waste,60
07/31/2019,July,Asphalt Debris,0
07/31/2019,July,Sidewalk Debris,0
07/31/2019,July,Haz Waste,0
07/31/2019,July,E-Waste,24
07/31/2019,July,Curb Garbage,8620
07/31/2019,July,Misc. Garbage,1294
08/31/2019,August,Curb Recycling,1414
08/31/2019,August,Misc. Recycling,10
08/31/2019,August,Bottle Bill,317
08/31/2019,August,Scrap Metal,332
08/31/2019,August,Recycled Tires,22
08/31/2019,August,Yard Waste,0
08/31/2019,August,Asphalt Debris,0
08/31/2019,August,Sidewalk Debris,0
08/31/2019,August,Haz Waste,0
08/31/2019,August,E-Waste,23
08/31/2019,August,Curb Garbage,7842
08/31/2019,August,Misc. Garbage,2190
09/30/2019,September,Curb Recycling,1354
09/30/2019,September,Misc. Recycling,10
09/30/2019,September,Bottle Bill,317
09/30/2019,September,Scrap Metal,332
09/30/2019,September,Recycled Tires,23
09/30/2019,September,Yard Waste,0
09/30/2019,September,Asphalt Debris,0
09/30/2019,September,Sidewalk Debris,0
09/30/2019,September,Haz Waste,0
09/30/2019,September,E-Waste,24
09/30/2019,September,Curb Garbage,7481
09/30/2019,September,Misc. Garbage,1963
10/31/2019,October,Curb Recycling,1405
10/31/2019,October,Misc. Recycling,10
10/31/2019,October,Bottle Bill,317
10/31/2019,October,Scrap Metal,332
10/31/2019,October,Recycled Tires,14
10/31/2019,October,Yard Waste,0
10/31/2019,October,Asphalt Debris,0
10/31/2019,October,Sidewalk Debris,0
10/31/2019,October,Haz Waste,0
10/31/2019,October,E-Waste,40
10/31/2019,October,Curb Garbage,7803
10/31/2019,October,Misc. Garbage,1963
11/30/2019,November,Curb Recycling,1279
11/30/2019,November,Misc. Recycling,10
11/30/2019,November,Bottle Bill,317
11/30/2019,November,Scrap Metal,332
11/30/2019,November,Recycled Tires,18
11/30/2019,November,Yard Waste,0
11/30/2019,November,Asphalt Debris,0
11/30/2019,November,Sidewalk Debris,0
11/30/2019,November,Haz Waste,0
11/30/2019,November,E-Waste,18
11/30/2019,November,Curb Garbage,6936
11/30/2019,November,Misc. Garbage,459
