year,place,month,num_tweets,likes,retweets
2018,Providence,12,12,11,5
2018,Seattle,1,68,768,183
2018,Seattle,2,71,288,116
2018,Seattle,3,85,198,53
2018,Seattle,4,105,465,151
2018,Seattle,5,95,197,76
2018,Seattle,6,81,287,83
2018,Seattle,7,97,640,301
2018,Seattle,8,116,336,75
2018,Seattle,9,90,369,91
2018,Seattle,10,164,629,225
2018,Seattle,11,209,642,108
2018,Seattle,12,147,337,79
2019,Buffalo,1,15,9,5
2019,Buffalo,2,17,56,8
2019,Buffalo,3,14,33,14
2019,Buffalo,4,7,29,1
2019,Buffalo,5,13,20,4
2019,Buffalo,6,29,57,15
2019,Buffalo,7,11,5,0
2019,Buffalo,8,27,50,13
2019,Buffalo,9,40,1466,233
2019,Buffalo,10,22,82,10
2019,Buffalo,11,17,167,50
2019,Buffalo,12,16,45,16
2019,Providence,1,29,36,9
2019,Providence,2,30,109,11
2019,Providence,3,28,104,8
2019,Providence,4,12,51,5
2019,Providence,5,22,204,35
2019,Providence,6,21,84,18
2019,Providence,7,11,13,2
2019,Providence,8,7,7118,1866
2019,Providence,9,42,5024,1170
2019,Providence,10,27,187,19
2019,Providence,11,25,1110,246
2019,Providence,12,23,79,4
2019,Seattle,1,154,416,108
2019,Seattle,2,226,775,166
2019,Seattle,3,187,712,160
2019,Seattle,4,135,428,101
2019,Seattle,5,182,741,205
2019,Seattle,6,235,6632,1269
2019,Seattle,7,158,897,156
2019,Seattle,8,239,13860,4277
2019,Seattle,9,317,4649,845
2019,Seattle,10,150,1318,256
2019,Seattle,11,147,645,108
2019,Seattle,12,139,805,133
